# Server version 0.08 running on wpa062028.wireless.mcgill.ca:8123
# Game ID: 57
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Mar 14 18:01:45 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260467234', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260467234
PIT 0 1
PIT 1 0
PIT 0 17
PIT 1 18
PIT 0 14
PIT 1 12
PIT 0 13
PIT 1 20
PIT 0 15
PIT 1 10
PIT 0 17
PIT 1 14
PIT 0 28
PIT 1 22
PIT 0 16
PIT 1 9
PIT 0 10
PIT 1 13
PIT 0 20
PIT 1 15
GAMEOVER WINNER 1
# Game ended: Mon Mar 14 18:01:45 EDT 2016
