# Server version 0.08 running on web110066.wireless.mcgill.ca:8123
# Game ID: 127
# Board class: hus.HusBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Tue Mar 29 12:35:42 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on web110066.wireless.mcgill.ca
# Player 2: Player-1, '260467234', running on web110066.wireless.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 260467234
PIT 0 0
PIT 1 0
PIT 0 18
PIT 1 1
PIT 0 21
PIT 1 3
PIT 0 23
PIT 1 5
PIT 0 3
PIT 1 6
PIT 0 16
PIT 1 8
PIT 0 2
PIT 1 10
PIT 0 3
PIT 1 11
PIT 0 4
PIT 1 12
PIT 0 24
PIT 1 13
PIT 0 17
GAMEOVER WINNER 0
# Game ended: Tue Mar 29 12:35:42 EDT 2016
