# Server version 0.08 running on wpa074127.wireless.mcgill.ca:8123
# Game ID: 190
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 31 15:24:13 EDT 2016
# Player 1: Player-0, 'Human', running on wpa074127.wireless.mcgill.ca
# Player 2: Player-1, 'RandomHusPlayer', running on wpa074127.wireless.mcgill.ca
START Player-0 Human
START Player-1 RandomHusPlayer
PIT 0 11
PIT 1 0
PIT 0 21
PIT 1 18
PIT 0 25
PIT 1 9
PIT 0 20
PIT 1 19
PIT 0 6
PIT 1 3
PIT 0 3
PIT 1 0
PIT 0 2
PIT 1 1
PIT 0 12
PIT 1 8
PIT 0 7
PIT 1 4
PIT 0 8
PIT 1 6
PIT 0 9
PIT 1 0
PIT 0 12
PIT 1 1
PIT 0 13
PIT 1 17
PIT 0 17
PIT 1 22
PIT 0 5
PIT 1 0
PIT 0 6
PIT 1 1
PIT 0 7
PIT 1 2
PIT 0 8
PIT 1 6
PIT 0 9
PIT 1 7
PIT 0 10
PIT 1 8
PIT 0 1
PIT 1 9
PIT 0 0
PIT 1 10
PIT 0 5
PIT 1 11
PIT 0 6
PIT 1 12
PIT 0 11
PIT 1 3
PIT 0 12
PIT 1 4
PIT 0 13
PIT 1 15
PIT 0 7
PIT 1 1
PIT 0 8
PIT 1 4
PIT 0 9
PIT 1 9
PIT 0 10
PIT 1 10
PIT 0 11
PIT 1 21
PIT 0 12
PIT 1 0
PIT 0 13
PIT 1 0
PIT 0 14
PIT 1 20
GAMEOVER WINNER 1
# Game ended: Thu Mar 31 15:26:01 EDT 2016
