# Server version 0.08 running on wpa074127.wireless.mcgill.ca:8123
# Game ID: 193
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 31 15:30:08 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on wpa074127.wireless.mcgill.ca
# Player 2: Player-1, 'Human', running on wpa074127.wireless.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 Human
PIT 0 0
PIT 1 2
PIT 0 15
PIT 1 11
PIT 0 19
PIT 1 12
PIT 0 16
PIT 1 13
PIT 0 27
PIT 1 18
PIT 0 17
PIT 1 19
PIT 0 9
PIT 1 20
PIT 0 19
PIT 1 21
PIT 0 10
PIT 1 0
PIT 0 20
GAMEOVER WINNER 0
# Game ended: Thu Mar 31 15:31:04 EDT 2016
