# Server version 0.08 running on 192.168.2.10:8123
# Game ID: 265
# Board class: hus.HusBoard
# Timeout: 30000
# First Move Timeout: 30000
# Date: Sat Apr 02 01:41:47 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 192.168.2.10
# Player 2: Player-1, '260467234', running on 192.168.2.10
START Player-0 RandomHusPlayer
START Player-1 260467234
PIT 0 0
PIT 1 23
PIT 0 6
PIT 1 19
PIT 0 19
PIT 1 17
PIT 0 1
PIT 1 18
PIT 0 23
PIT 1 24
PIT 0 12
PIT 1 16
PIT 0 13
PIT 1 17
PIT 0 11
PIT 1 15
PIT 0 25
PIT 1 24
PIT 0 14
PIT 1 0
GAMEOVER WINNER 1
# Game ended: Sat Apr 02 01:41:55 EDT 2016
