# Server version 0.08 running on wpa074049.wireless.mcgill.ca:8123
# Game ID: 268
# Board class: hus.HusBoard
# Timeout: 30000
# First Move Timeout: 30000
# Date: Sat Apr 02 12:47:01 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on wpa074049.wireless.mcgill.ca
# Player 2: Player-1, '260467234', running on wpa074049.wireless.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 260467234
PIT 0 22
PIT 1 22
PIT 0 4
PIT 1 9
PIT 0 13
PIT 1 21
PIT 0 14
PIT 1 13
PIT 0 24
PIT 1 24
PIT 0 25
PIT 1 28
PIT 0 11
PIT 1 30
PIT 0 29
PIT 1 25
PIT 0 17
PIT 1 27
PIT 0 22
PIT 1 12
PIT 0 2
PIT 1 31
PIT 0 1
PIT 1 6
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 7
PIT 0 6
PIT 1 2
PIT 0 2
PIT 1 3
PIT 0 3
PIT 1 6
PIT 0 0
PIT 1 7
PIT 0 1
PIT 1 11
PIT 0 3
PIT 1 14
PIT 0 4
PIT 1 12
PIT 0 29
PIT 1 10
PIT 0 5
GAMEOVER WINNER 0
# Game ended: Sat Apr 02 12:47:07 EDT 2016
