# Server version 0.08 running on cs-2.CS.McGill.CA:8123
# Game ID: 618
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Apr 05 17:48:38 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260467234', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260467234
PIT 0 0
PIT 1 1
PIT 0 21
PIT 1 17
PIT 0 22
PIT 1 19
PIT 0 26
PIT 1 20
PIT 0 13
PIT 1 21
PIT 0 28
PIT 1 22
PIT 0 15
PIT 1 27
PIT 0 17
PIT 1 14
PIT 0 19
PIT 1 7
PIT 0 18
PIT 1 10
PIT 0 21
PIT 1 4
PIT 0 3
PIT 1 19
PIT 0 23
PIT 1 21
PIT 0 9
PIT 1 6
PIT 0 10
PIT 1 23
PIT 0 14
PIT 1 10
PIT 0 11
PIT 1 12
PIT 0 15
PIT 1 16
PIT 0 13
PIT 1 2
PIT 0 27
PIT 1 3
GAMEOVER WINNER 1
# Game ended: Tue Apr 05 17:48:46 EDT 2016
