# Server version 0.08 running on cs-2.CS.McGill.CA:8123
# Game ID: 823
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Apr 06 02:13:07 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260467234', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260467234
PIT 0 0
PIT 1 22
PIT 0 21
PIT 1 15
PIT 0 19
PIT 1 14
PIT 0 15
PIT 1 16
PIT 0 22
PIT 1 21
PIT 0 16
PIT 1 29
PIT 0 6
PIT 1 20
PIT 0 19
PIT 1 25
PIT 0 11
PIT 1 11
PIT 0 21
PIT 1 27
PIT 0 16
PIT 1 0
PIT 0 2
PIT 1 31
PIT 0 0
GAMEOVER WINNER 0
# Game ended: Wed Apr 06 02:13:20 EDT 2016
